"дней работы","Тепература пласта","Газовый фактор пласта","Давление насыщения","Плотность нефти","Плотность воды","Вязкость жидкости","Забойное давление","Подача ЭЦН","Напор ЭЦН","Дебит жидкости","Дебит нефти","КВЧ","кривизна","Давление пластовое"
"105","60","70","97","0.846","1.014","1.66","44.075388837724","50","1600","53.38584","1.79352","208","1.384157","137"
"105","72","93","105","0.842","1.015","1.29","33.074427654306","125","2100","77.048","20.208","148","0.120369","135"
"107","54","72","116","0.843","1.015","1.66","96.140174676488","250","1650","311.50908","10.41948","320","0.570095","135"
"108","86","170","169","0.804","1.015","1.54","135.19392152275","80","2400","103.24102","4.96872","140","0.070173","205"
"115","54","72.93","115.4","0.8431","1.015","1.66","57.173636721177","50","1600","58.5694398","0.9763098","210","0.099239","161.4"
"115","72","78","105","0.841","1.015","1.66","35.170475026795","500","1800","490.5872","8.1577","130","0.375716","160"
"116","55","73.12","117.2","0.8446","1.0158","1.69","91.909572557892","400","1114","367.95504","13.872555","308","0.040514","129.4"
"117","61","106","143.7","0.858","1.019","0.99","21.142725374847","25","1713","9.45571","9.34362","154","0.334089","155"
"119","53","81.3","110","0.844","1.015","1.66","44.102040004343","400","1550","385.44373","11.28428","90","0.190029","128"
"121","60","70","97","0.846","1.014","1.66","49.810546682665","160","1600","137.20968","18.81504","130","0","135"
"124","72","78","105","0.841","1.015","1.41","19.945008394871","200","1800","130.8944","54.1604","153","0.107191","173"
"125","60","59","134","0.849","1.019","1.74","29.056716346896","30","1500","32.86965","3.782295","239","0.388602","155"
"128","60","70","97","0.846","1.014","1.66","21.115809036476","60","1600","49.60824","8.56152","162","0.437308","111"
"133","54","72","116","0.843","1.015","1.65","40.283833574988","60","1733","4.00496","0.26976","174","0.162057","117"
"136","60","99","160","0.845","1.014","1.28","38.656668129782","35","1700","16.72931","12.68345","140","0.571533","131"
"140","73","73.7","100","0.842","1.023","1.65","90.331725792658","60","2550","83.29232","2.76176","172","2.49867","123"
"143","54","72","116","0.843","1.015","1.64","40.198937932664","16","2500","8.8254","1.5174","146","0.214381","118"
"149","75","86","101.5","0.836","1.023","1.56","37.349489023602","80","2500","41.70936","5.61792","238","0.114592","120"
"154","60","70","97","0.846","1.014","1.67","31.514960701597","80","1700","92.82432","2.33496","214","1.754854","105"
"154","82","83","99","0.831","1.051","1.61","52.773439449127","30","2400","20.536","1.8282","224","0.747051","236"
"159","72","93","105","0.842","1.015","1.3","95.375017716874","800","1389","279.864","60.624","86","0.294949","161"
"162","60","80","160","0.878","1.019","1.56","97.355210571079","1500","1500","1539.11489","73.49738","162","0.181185","160"
"165","81","70","101","0.835","1.021","1.22","56.543555273376","65","2000","21.463216","15.48424","136","0","195"
"168","87","146","136","0.81","1.021","1.63","73.425188686999","400","2000","287.15161","6.8769","166","0.128117","246"
"177","60","59","134","0.849","1.019","1.69","97.456425212625","250","1200","323.904","10.8672","0","0.099239","0"
"183","59","72.26","99.6","0.8456","1.0142","1.56","25.933965016768","50","1550","13.64502","7.86408","118","0.176598","107"
"183","60","70","97","0.846","1.014","1.65","43.844662134261","125","1650","26.0172","6.8526","86","0.371549","125"
"189","60","59","134","0.849","1.019","1.71","115.54706825789","500","1129","561.54345","40.340235","203","1.308248","145"
"193","54","72","116","0.843","1.015","1.66","90.365393936323","400","1550","493.9788","16.5228","126","0.37132","135"
"196","72","93","105","0.842","1.015","1.32","37.703946864593","160","2000","99.45738","5.00148","119","0.580443","137.96"
"198","60","70","97","0.846","1.014","1.65","25.762049611532","100","1650","52.8132","14.8896","86","0.144665","106"
"208","73","73.7","100","0.842","1.023","1.65","75.915677619637","80","2000","71.29325","1.4735","100","0.781416","132.565"
"220","60","80","160","0.878","1.019","1.75","118.86313356306","125","1608","151.4975","33.803","184","0.477661","157"
"221","60","70","97","0.846","1.014","1.66","65.032785580233","80","1600","107.4744","20.4732","134","1.712654","109"
"222","63","92","93.8","0.845","1.02","1.55","55.347338103227","400","1843","483.72","28.392","162","0","175"
"226","60","70","97","0.846","1.014","1.65","0","35","1800","44.320896","18.847188","86","0","0"
"227","60","70","97","0.846","1.014","1.66","63.695997671656","30","1600","45.1008","2.6649","153","0.360101","110"
"229","53","81.3","110","0.844","1.015","1.66","28.165897520183","320","1800","188.52592","6.31312","208","0.3886","116"
"232","60","70","97","0.846","1.014","1.66","80.356321021834","125","1300","134.1684","13.7052","154","0.140345","138"
"234","73","73.7","103","0.842","1.023","1.42","43.72672314044","80","2000","20.63446","8.70628","201","0.181185","156"
"236","70","78","99","0.84","1.015","1.4","60.258877254571","50","1700","39.13","21.672","158","0.206583","145"
"239","60","99","160","0.845","1.014","1.56","33.731359564043","35","1650","21.5644","3.718","120","0.151591","137.412"
"244","74","109","130","0.812","1.02","1.38","94.663879130833","250","2350","287.28","73.08","92","0.266397","217.431"
"249","54","72","116","0.843","1.015","1.66","80.454364540597","250","1600","227.9053592","6.2815302","82","0.107191","121"
"253","54","76.185","113.3","0.84345","1.015","1.66","27.842997642291","160","1650","161.85104","2.69904","164","0.198479","129.65"
"257","60","70","97","0.846","1.014","1.66","32.920523962026","50","1650","24.762","2.961","100","0.366882","140"
"257","54","72","116","0.843","1.015","1.66","100.62872745734","500","1450","236.504","9.90525","656","2.365048","133"
"258","60","70","97","0.846","1.014","1.66","54.573141232093","35","1550","20.55312","3.73086","156","0.506029","115"
"261","53","81.3","110","0.844","1.015","1.66","41.481870377183","100","1600","125.01184","4.18624","338","1.564968","140"
"263","60","70","97","0.846","1.014","1.66","25.140964618808","30","1850","26.38128","2.46609","180","0.057296","142"
"265","70","70","99","0.864","1.017","1.38","28.218401346542","160","2000","99.929565","61.68528","160","0.192956","124.377"
"270","82","83","99","0.831","1.051","1.6","80.5308097531","50","2000","51.23","4.986","57","0.150231","165"
"278","70","78","99","0.84","1.015","1.48","0","80","1950","42.525","15.12","0","0.105742","144"
"279","81","70","101","0.835","1.014","1.16","31.2076032712","25","2350","19.265344","16.08544","0","0.181185","180"
"283","60","70","97","0.846","1.014","1.66","0","15","1750","14.609448","1.492344","0","0.099239","119"
"285","72","78","105","0.841","1.015","1.64","0","1250","1500","1239.8892","41.3772","0","0","145"
"286","53","78.975","111.5","0.84375","1.015","1.63","0","25","1850","24.1334375","6.1171875","0","0.300463","130.8834"
"290","70","78","99","0.84","1.015","1.59","0","60","1600","59.325","7.56","0","2.057471","130"
"290","70","78","99","0.84","1.015","1.29","22.884665840291","60","2100","17.15","15.12","0","0.081028","130"
"292","60","59","134","0.849","1.019","1.68","77.520158093072","250","1400","318.8984","5.33172","176","0.841909","145"
"297","73","73.7","100","0.842","1.023","1.63","27.263313525183","50","2300","49.32879","3.71322","124","0.687553","115"
"298","73","73.7","100","0.842","1.023","1.65","47.325252413574","35","2000","33.215352","1.101336","106","0","166"
"300","72","78","105","0.841","1.015","1.64","0","320","1600","373.6186","9.3351","118","0.872712","158"
"301","56","74.746","102.46","0.84516","1.01458","1.66","0","30","1650","35.85760836","1.81033272","0","0.259419","133"
"301","60","70","97","0.846","1.014","1.66","48.029559465323","35","1600","52.591344","11.921832","154","0.677937","113"
"304","60","70","97","0.846","1.014","1.66","34.303605007675","35","1700","40.95408","3.12174","127","0.465474","115.4"
"311","54","72","116","0.843","1.015","1.65","35.149756538357","100","1700","97.12028","6.54168","0","0.409177","119"
"312","54","72","116","0.843","1.015","1.56","33.686302409932","25","1700","13.65312","12.67872","164","0.167045","140"
"316","60","99","160","0.845","1.015","1.65","30.009742137272","50","1700","32.2624","1.0816","147","0.190029","151.292"
"320","54","72","116","0.843","1.015","1.64","32.414045711261","35","1700","41.1852","7.0812","0","0.375716","121"
"320","60","70","97","0.846","1.014","1.66","34.933545072853","80","1650","29.7144","3.5532","180","2.195393","159"
"321","73","73.7","100","0.842","1.023","1.54","29.821012745571","25","2200","25.76742","6.71916","280","0","170"
"324","60","70","97","0.846","1.014","1.67","62.686754712852","160","1550","188.67552","4.74606","0","0","100"
"336","60","70","97","0.846","1.014","1.63","39.277763267363","50","1550","4.3476","3.6378","315","0.206583","105"
"338","86","170","169","0.804","1.015","1.43","116.31665620689","160","1700","136.68565","16.7634","136","0.214381","225"
"338","72","78","105","0.841","1.015","1.62","0","79","1950","108.30456","6.35796","176","0.162057","0"
"342","72","93","105","0.842","1.015","1.21","67.5254967266","50","1900","44.99276","42.84096","98","0.16764","155"
"342","60","70","97","0.846","1.014","1.66","32.740588770633","35","1650","46.9476","10.21545","198","0.18566","121"
"342","54","72","116","0.843","1.015","1.66","0","500","1500","492.9868572","11.9325807","0","0.151591","118"
"347","72","93","105","0.842","1.015","1.51","81.19896597323","30","1600","14.4465","3.789","164","0.256235","148"
"350","73","73.7","100","0.842","1.023","1.65","0","100","2200","87.86324","2.91332","0","0.249747","171"
"350","72","93","105","0.842","1.015","1.28","33.462425980318","160","2100","28.3221","10.3566","139","0.205807","157.605"
"351","70","78","99","0.84","1.015","1.32","23.131279392424","30","2100","7.0875","5.4432","0","0.070173","151"
"351","53","72.558","115.64","0.84306","1.015","1.66","55.760954369301","400","1300","391.28491664","12.43007664","90","0.162057","131.5735"
"354","53","81.3","110","0.844","1.015","1.66","60.316989120109","125","1650","143.442044","2.393584","210","0.162057","135"
"354","60","80","160","0.878","1.019","1.67","154.20398269387","60","1300","101.8859","0.0878","126","0.625036","155"
"356","54","72","116","0.843","1.015","1.66","58.998056541338","320","1650","365.94756","12.24036","127","0.341381","121"
"356","75","86","101.5","0.836","1.023","1.63","87.989501127392","125","1950","128.73355","5.3086","200","0.057296","160"
"358","53","81.3","110","0.844","1.015","1.58","0","60","1600","15.74336","7.46096","122","0.252651","135"
"360","60","59","134","0.849","1.019","1.69","0","80","1700","102.2322","3.42996","0","0.249747","152"
"364","86","177","169","0.804","1.015","1.6","94.772063003029","250","2200","299.57499","7.16364","115","0.243086","220"
"366","73","73.7","103","0.842","1.023","1.59","58.004577103012","50","2050","59.9682","6.5676","129","2.36336","163"
"366","60","70","97","0.846","1.014","1.65","25.811630076209","30","1800","33.006912","14.035986","0","0","108"
"367","61","106","143.7","0.858","1.019","1.52","105.49123098726","320","1150","284.8692","2.4024","130","1.618758","150.8"
"368","57","75.65","103.5","0.845","1.0145","1.66","21.841674276156","50","1650","75.960375","0.63375","98","0.128117","125"
"369","72","134","114","0.81","1.02","1.47","30.076812259175","35","2150","19.686","2.754","0","0","134.9"
"370","53","78.51","111.8","0.8437","1.015","1.65","45.86611598868","80","1700","16.818185","2.151435","110","0.134371","140"
"371","54","72.2139","115.862","0.843023","1.015","1.65","44.99130371579","125","1550","161.6439726","13.6569726","79","0.128117","125"
"373","60","70","97","0.846","1.014","1.67","72.466493848757","25","1550","33.29568","0.83754","120","0.677937","133.3"
"373","62","98","81","0.827","1.015","1.64","102.7467675201","125","1650","151.686","2.481","100","0.229183","180"
"378","73","73.7","100","0.842","1.023","1.62","31.532684385601","250","2300","128.6272","10.7776","98","0.214381","185"
"391","59","72.26","99.6","0.8456","1.0142","1.63","23.590574296178","25","1650","26.518482","4.337928","214","0.708728","136.8"
"391","54","75.069","114.02","0.84333","1.015","1.66","48.027969348399","200","1550","191.5105437","1.5938937","113","0.66942","148"
"395","70","78","99","0.84","1.015","1.65","0","320","2000","372.96","12.432","0","0.265671","129"
"398","60","70","97","0.846","1.014","1.65","31.480225122881","25","1700","29.267976","14.481828","178","0.114592","123"
"401","73","73.7","100","0.842","1.023","1.53","0","30","2150","27.356868","7.891224","0","0.206583","172"
